Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/11/14 16:11:56.343,-0.292,0.51,3.772,-0.118,-0.456,-0.348,1.841,-0.268,0.11,-0.522,1.954,6.117,3187450,,
2025/11/14 16:11:56.441,-0.685,0.587,4.428,-0.097,-0.549,-0.349,1.629,-0.266,-0.024,-0.601,1.66,5.227,3187550,,
2025/11/14 16:11:56.541,-0.641,1.064,6.218,-0.154,-0.525,-0.435,1.671,-0.325,0.002,-0.785,1.514,4.704,3187650,,
2025/11/14 16:11:56.641,0.162,0.855,8.3,-0.186,-0.41,-0.468,1.772,-0.352,0.094,-0.847,1.354,4.889,3187750,,
2025/11/14 16:11:56.741,-0.776,0.311,8.59,-0.231,-0.348,-0.499,1.801,-0.384,0.129,-0.869,0.93,5.692,3187850,,
2025/11/14 16:11:56.841,-0.975,-0.161,7.524,-0.289,-0.39,-0.515,1.774,-0.411,0.102,-0.836,0.235,6.593,3187950,,
2025/11/14 16:11:56.941,-0.343,-0.366,6.188,-0.152,-0.505,-0.466,1.736,-0.343,0.044,-0.466,-0.567,7.138,3188050,,
2025/11/14 16:11:57.041,-1.334,-1.866,4.175,-0.017,-0.677,-0.461,1.744,-0.272,-0.048,-0.103,-1.369,7.035,3188150,,
2025/11/14 16:11:57.141,-1.414,0.154,3.499,0.081,-0.689,-0.486,1.754,-0.216,-0.056,0.18,-1.769,6.543,3188250,,
2025/11/14 16:11:57.241,0.655,0.105,4.535,0.13,-0.69,-0.547,1.719,-0.175,-0.046,0.373,-1.894,5.829,3188350,,
2025/11/14 16:11:57.343,1.375,-1.53,5.588,0.108,-0.681,-0.557,1.608,-0.179,-0.004,0.386,-1.673,5.197,3188450,,
2025/11/14 16:11:57.441,1.004,-2.298,6.384,0.092,-0.656,-0.547,1.628,-0.184,-0.007,0.323,-1.422,4.902,3188550,,
2025/11/14 16:11:57.541,0.567,-1.449,6.894,0.085,-0.629,-0.545,1.63,-0.183,-0.011,0.218,-0.998,4.954,3188650,,
