Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress,phase_error_rad,estimated_freq_Hz,phase_correction_rad,PhaseCorr_raw
2025/12/26 18:09:08.942,-2.874,0.089,3.194,0.129,-0.098,2.6,-0.233,-0.065,-0.01,-2.539,0.188,5.717,107520,,,0.0001,0.6,0.0,PhaseCorr: err=0.0001 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.042,-1.923,0.266,2.534,0.119,-0.088,2.587,-0.187,-0.065,-0.02,-2.65,0.175,4.577,107620,,,0.0001,0.6,0.0,PhaseCorr: err=0.0001 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.142,-1.295,0.014,2.948,-0.053,-0.117,2.337,-0.225,-0.021,-0.013,-2.063,0.24,3.727,107720,,,0.0001,0.6,0.0,PhaseCorr: err=0.0001 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.243,-1.497,-0.026,4.224,-0.172,-0.153,2.253,-0.252,0.005,-0.006,-1.328,0.274,3.281,107820,,,0.0001,0.6,0.0,PhaseCorr: err=0.0001 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.342,-1.295,0.052,6.372,-0.04,-0.208,2.235,-0.257,-0.052,0.012,-0.739,0.293,3.676,107920,,,0.0001,0.6,0.0,PhaseCorr: err=0.0001 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.442,-0.906,-0.037,7.447,0.2,-0.149,2.037,-0.307,-0.24,-0.033,-0.345,0.101,4.995,108020,,,0.0001,0.6,0.0,PhaseCorr: err=0.0001 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.545,,,,,,,,,,,,,,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.546,-0.207,-0.556,6.526,0.291,-0.187,1.777,-0.251,-0.424,0.008,0.04,0.075,6.934,108120,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.643,0.603,-0.468,5.563,0.292,-0.208,1.602,-0.258,-0.541,0.004,0.404,-0.036,7.89,108220,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.742,0.457,0.174,4.933,0.266,-0.222,1.544,-0.278,-0.582,-0.01,0.741,-0.182,7.405,108320,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.843,1.315,-0.129,4.939,0.369,-0.114,1.696,-0.161,-0.471,0.085,1.219,-0.073,6.648,108420,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:09.942,1.444,0.049,5.301,0.454,-0.092,1.764,-0.133,-0.396,0.108,1.414,-0.049,5.678,108520,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:10.043,1.363,0.186,5.76,0.554,0.026,1.822,-0.068,-0.325,0.188,1.395,0.155,5.241,108620,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:10.143,0.987,-0.322,6.272,0.695,0.047,1.887,-0.06,-0.249,0.196,1.206,0.212,5.308,108720,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:10.242,0.416,-0.435,7.398,0.762,-0.092,1.904,-0.1,-0.216,0.129,0.694,0.029,5.409,108820,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:10.342,-0.82,-0.385,7.447,0.802,-0.086,1.893,-0.1,-0.192,0.132,0.019,0.078,5.806,108920,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:10.443,-1.53,-0.109,6.814,0.822,-0.13,1.873,-0.08,-0.176,0.103,-0.704,0.051,6.185,109020,,,0.0004,0.6,0.0,PhaseCorr: err=0.0004 est_freq=0.6000 Hz corr=0.00
2025/12/26 18:09:10.545,,,,,,,,,,,,,,,,-0.0004,0.5999,0.0,PhaseCorr: err=-0.0004 est_freq=0.5999 Hz corr=0.0
